LEGISLATION AND REGULATION RECORD,,,,,,
,,,,,,
,,,,,,
Date Added,Interested party,Act / Regulation / Requirement,Description,Risk of non-compliance,How compliance is achieved,Risk Links
07/10/2024,Shareholders and clients,PCI DSS,Maintain PCI DSS compliance for payment gateway,"This would constitute a breach of most (all) of our client contracts as it forms a part of our standard contract. This would allow affected clients a break clause so they could terminate contract without penalty or further discussion. PCI DSS compliance is essential for our business operations, non-compliance would lead to us being unable to work with certain financial services entities and many of our clients.","Compliance with PCI DSS (Payment Card Industry Data Security Standard) is achieved by implementing stringent controls to protect cardholder data. Paythru Ltd adheres to requirements like encrypting cardholder data, Multifactor authentication, securing networks (architecture), maintaining access control policies, and conducting regular vulnerability scans. Annual PCI DSS audits are performed to ensure compliance.","9, 30, 31"
07/10/2024,Shareholders and clients,ISO 27001:2022,Achieve and maintain ISO 27001:2022 compliance,Some local authority contracts stipulate ISO 27001:2022 compliance and so non-compliance would lead to a breach of these contracts and a potential break clause for the affected clients. Paythru could lose business and suffer reputational damage from the revocation of compliance with this standard.,"Compliance is maintained through the implementation of an Information Security Management System (ISMS). Paythru Ltd ensures risk assessments, security controls, and continuous monitoring to protect information assets and meet client and shareholder expectations for data security. Regular internal and external audits ensure compliance with ISO 27001 requirements.",29
07/10/2024,UK Government / Information Commissioners Office,Data Protection Act 2018,Maintain compliance with UK Data Protection Act 2018,€20 million / 4% of annual turnover or €10 million / 2% of annual turnover depending on the precise nature of the episode of non-compliance. Companies breaching can also be the subject of a Civil Action. There's a high likelihood of reputational damage if individuals are affected (especially in the case of a large quantity of individuals).,"Compliance with the Data Protection Act 2018 (incorporating GDPR) is ensured by applying data minimization, ensuring user consent for data processing, protecting personal data through encryption and access control, and conducting data protection impact assessments (DPIAs) where necessary. Paythru's CISO is responsible for overseeing compliance and acts in this capacity as DPO.","10, 11"
07/10/2024,Financial Conduct Authority,Payment Services Directive 2,Update integrations with acquiring banks to be compliant,"In the case of non-compliance with certain aspects of PSD2 legislation (for example, secure customer authentication) we would be unable to conduct normal business operations (transactions we would attempt to process would fail) and we would therefore suffer rapidly from loss of clients, revenue and reputation.","Payment Services Directive 2 (PSD2) compliance is achieved by implementing strong customer authentication (SCA), ensuring secure data exchange during transactions, and protecting users against fraud through continuous monitoring. Paythru Ltd adheres to FCA guidelines on payment services.","27, 28"
07/10/2024,Information Commissioners Office,Privacy and Electronic Communications Regulations,Covers electronic communications with consumers. https://www.legislation.gov.uk/uksi/2003/2426 ,"ICO has several ways of taking action to change the behaviour of anyone who breaches PECR. They include criminal prosecution, non-criminal enforcement and audit. The Information Commissioner can also serve a monetary penalty notice imposing a fine of up to £500,000 which can be issued against the organisation or its directors.","Paythru Ltd ensures that all electronic marketing communications comply with PECR by obtaining explicit consent from individuals for marketing activities, especially in the case of email and SMS marketing.",99
07/10/2024,UK Government,Computer Misuse Act 1990,https://www.legislation.gov.uk/ukpga/1990/18/contents,"As an enforced UK Act the potential punishments for this include a range of prison sentences, depending on the precise nature of the breach.","Compliance with the Computer Misuse Act 1990 is achieved by implementing robust network security, monitoring for unauthorised access, and enforcing strict internal policies to prevent hacking or unauthorised modification of data. Any breaches are logged and reported.",62
07/10/2024,Shareholders,Patents Act 2004 + other Patent and Copyright Acts,Protected in staff contracts,"To assist with navigating the myriad Patents and Copyright laws we enlist the help of Bowden and Associates, who are intellectual property specialistsand patent attorneys.
The contravention of third party Intellectual Property rights could lead to financial penalties (with no theoretical limit) via civil action. 
Our Intellectual Property rights not being honoured could lead to loss of revenue and business opportunity.","Paythru Ltd adheres to the Patents Act 2004 and Copyright Acts by ensuring that all software and intellectual property used in business operations are licensed appropriately. Any innovative solutions developed by Paythru Ltd are patented where applicable, protecting shareholder interests.",
07/10/2024,UK Government,Bribery Act 2010,https://www.legislation.gov.uk/ukpga/2010/23/contents,"Non-compliance is potentially a criminal office, a breach could lead to criminal proceedings against individuals involved, loss of reputation for the company and business continuity problems (depending on the individuals involved).","Protected in staff contracts, training programs for employees, and a whistleblowing mechanism to report suspected corruption. All business transactions are reviewed to ensure transparency and legality.",
07/10/2024,UK Government,Modern Slavery Act 2015,http://www.legislation.gov.uk/ukpga/2015/30/contents/enacted,"Only applies to organisations with a minimum turnover of £36 million per year. Currently Paythru do not meet this criteria, but we continue to monitor.","Paythru Ltd ensures compliance with the Modern Slavery Act 2015 by performing due diligence on supply chains, ensuring that suppliers do not engage in forced labor or human trafficking. A Modern Slavery Statement is under development, outlining measures taken to combat slavery.",
07/10/2024,UK Government,Limitation Act 1980,https://www.legislation.gov.uk/ukpga/1980/58,"The company may miss opportunities to bring legal proceedings against third parties, such as enforcing a debt, resulting in financial lost. There are potential financial penalties for non-adherance (e.g. accounting records).",Compliance with the Limitation Act 1980 is ensured by keeping accurate records of all transactions and contracts for the specified duration. This ensures that Paythru Ltd can respond to legal claims within the statutory limitation periods.,
07/10/2024,UK Government,Criminal Finances Act 2017,http://www.legislation.gov.uk/ukpga/2017/22/contents/enacted,"Non-compliance is a criminal office, a breach could lead to criminal proceedings against individuals involved, loss of reputation for the company and business continuity problems (depending on the individuals involved).","Paythru Ltd complies with the Criminal Finances Act 2017 by implementing robust anti-money laundering (AML) procedures, monitoring financial transactions for suspicious activity, and reporting any concerns to the authorities. Internal policies prevent the facilitation of tax evasion.",
07/10/2024,Financial Conduct Authority,Financial Services and Markets Act 2000,https://www.legislation.gov.uk/ukpga/2000/8/contents,"Paythru's current activities are exempt from this Act, but we continue to monitor the Act for changes and any risk of non-compliance with new projects or ventures. In the case of non-compliance there are both financial penalties and prohibitions.","Compliance with the Financial Services and Markets Act 2000 is not necessary for Paythru, though we monitor for changes to needs and expectations of the FCA in case they infringe on our activities or those of the clients we represent.",
07/10/2024,Information Commissioners Office / Financial Conduct Authority,European Union (Withdrawal Agreement) Act 2020,https://www.legislation.gov.uk/ukpga/2020/1/contents/enacted,There is no direct impact of the legislation on Paythru or its current activities. We continue to monitor the impact. Non-compliance could lead to breaching contractual terms with our clients.,Compliance with the European Union Act 2020 post-Brexit is achieved by aligning data protection policies with UK GDPR and maintaining any additional standards required for cross-border data transfer with the EU. Paythru Ltd ensures it meets FCA guidance on this matter.,27
07/10/2024,UK Government,Automated and Electric Vehicles Act 2018,https://www.legislation.gov.uk/ukpga/2018/18/contents,"Non-compliance isn't currently a concern to Paythru, our activities are not currently covered by the Act. However, the Act brings opportunity if we do comply with certain aspects, and we continue to monitor the legislation to ensure our activities remain compliant or exempt.",Any engagement with automated or electronic vehicle technologies will comply with the Automated and Electronic Vehicle Act 2018 by ensuring cybersecurity measures for automated systems and protecting data associated with vehicle technologies.,
